Source,Target
Matias Franco Descotte,Grzegorz Panfil
Dmitry Surchenko,Alexandr Igoshin
Shalva Dzhanashia,Anton Galkin
Giorgi Javakhishvili,Dimitriy Voronin
Colin Van Beem,Pedro Sakamoto
Benjamin Balleret,Pawel Cias
Artur Dubinski,Grzegorz Panfil
Anton Galkin,Alexandr Igoshin
Dimitriy Voronin,Pedro Sakamoto
Pawel Cias,Grzegorz Panfil
Pedro Sakamoto,Alexandr Igoshin
Alexandr Igoshin,Grzegorz Panfil
Dmitry Surchenko,Grzegorz Panfil
Mubarak Al Harrasi,Mikhail Korovin
Colin Van Beem,Giorgi Javakhishvili
Maciej Nowak,Matteo Marfia
Sergey Baryshev,Marco Bortolotti
Francesco Garzelli,Aleksandre Metreveli
Georgi Revazishvili,Anton Galkin
Alexandr Igoshin,Thiago Monteiro
Victor Gurevich,Artur Dubinski
Irakli Metreveli,Ilya Lebedev
Pedro Bernardi,Timon Reichelt
Pawel Cias,Pedro Sakamoto
Matias Franco Descotte,Lennert Van Der Linden
Imran Aswat,George Tsivadze
Timur Kiuamov,Alexey Baryshev
Leon Schutt,Benjamin Balleret
Mikhail Korovin,Grzegorz Panfil
Matteo Marfia,Giorgi Javakhishvili
Aleksandre Metreveli,Marco Bortolotti
Anton Galkin,Thiago Monteiro
Artur Dubinski,Ilya Lebedev
Timon Reichelt,Pedro Sakamoto
George Tsivadze,Lennert Van Der Linden
Alexey Baryshev,Benjamin Balleret
Giorgi Javakhishvili,Grzegorz Panfil
Thiago Monteiro,Marco Bortolotti
Ilya Lebedev,Pedro Sakamoto
Lennert Van Der Linden,Benjamin Balleret
Marco Bortolotti,Grzegorz Panfil
Benjamin Balleret,Pedro Sakamoto
Pedro Sakamoto,Grzegorz Panfil
Edin Zecevic,Grzegorz Panfil
Victor Gurevich,Dmitry Surchenko
Roman Gigolaev,Lennert Van Der Linden
Jeff Guerrero,Aleksandre Metreveli
Mousa Shanan Zayed,Thiago Monteiro
Maciej Nowak,Pawel Cias
Sergey Baryshev,Pedro Bernardi
Constantinos Ioannides,Pedro Sakamoto
Mubarak Al Harrasi,George Tsivadze
Mikhail Korovin,Stijn Meulemans
Shota Meparidze,Karol Drzewiecki
Moos Sporken,Michael Linzer
Mikayel Avetisyan,Marco Bortolotti
Leon Schutt,Timon Reichelt
Mikayel Khachatryan,Giorgi Javakhishvili
Aleksandre Bakshi,Victor Baluda
Dmitry Surchenko,Grzegorz Panfil
Lennert Van Der Linden,Aleksandre Metreveli
Pawel Cias,Thiago Monteiro
Pedro Bernardi,Pedro Sakamoto
Stijn Meulemans,George Tsivadze
Karol Drzewiecki,Michael Linzer
Timon Reichelt,Marco Bortolotti
Giorgi Javakhishvili,Victor Baluda
Aleksandre Metreveli,Grzegorz Panfil
Pedro Sakamoto,Thiago Monteiro
George Tsivadze,Michael Linzer
Marco Bortolotti,Victor Baluda
Thiago Monteiro,Grzegorz Panfil
Michael Linzer,Victor Baluda
Victor Baluda,Grzegorz Panfil
Daniel Tamir,Sam Barry
Yannai Barkai,Sebastian Wagner
Alexander Mozgovoy,Guy Michelevitz
Ram Kapach,Dekel Bar
Emil Saveljev,Evgeny Karlovskiy
Mor Bulis,Hugo Grenier
Pavel Semidockih,Simeon Rossier
Dor Belfer,Toby Martin
Oran Reznik,Bar Tzuf Botzer
Aviv Darmon,Joshua Paris
Yoav Nir,Alon Elia
Orel Ovil,Amir Weintraub
Tal Goldengoren,Ben Fatael
Yshai Oliel,Daniel Cukierman
Yankel Zemel,Motvey Radionov
Arseniy Morozov,Peter Kobelt
Sebastian Wagner,Sam Barry
Guy Michelevitz,Dekel Bar
Hugo Grenier,Evgeny Karlovskiy
Simeon Rossier,Toby Martin
Joshua Paris,Bar Tzuf Botzer
Alon Elia,Amir Weintraub
Daniel Cukierman,Ben Fatael
Motvey Radionov,Peter Kobelt
Dekel Bar,Sam Barry
Toby Martin,Evgeny Karlovskiy
Bar Tzuf Botzer,Amir Weintraub
Peter Kobelt,Ben Fatael
Sam Barry,Evgeny Karlovskiy
Ben Fatael,Amir Weintraub
Evgeny Karlovskiy,Amir Weintraub
Ram Kapach,Sam Barry
Aviv Darmon,Constantinos Ioannides
Motvey Radionov,Mor Bulis
Oran Reznik,Toby Martin
Sebastian Wagner,Evgeny Karlovskiy
Daniel Dudockin,Hugo Grenier
Shahar Elbaz,Ben Fatael
Emil Saveljev,Dekel Bar
Daniel Tamir,Tal Goldengoren
Yuriy Kovalenko,Joshua Paris
Orel Ovil,Yankel Zemel
Arseniy Morozov,Amir Weintraub
Dor Belfer,Bar Tzuf Botzer
Daniel Cukierman,Alon Elia
Alexander Mozgovoy,Simeon Rossier
Edan Bakshi,Peter Kobelt
Constantinos Ioannides,Sam Barry
Mor Bulis,Toby Martin
Evgeny Karlovskiy,Hugo Grenier
Dekel Bar,Ben Fatael
Tal Goldengoren,Joshua Paris
Yankel Zemel,Amir Weintraub
Alon Elia,Bar Tzuf Botzer
Peter Kobelt,Simeon Rossier
Sam Barry,Toby Martin
Ben Fatael,Hugo Grenier
Joshua Paris,Amir Weintraub
Simeon Rossier,Bar Tzuf Botzer
Hugo Grenier,Toby Martin
Bar Tzuf Botzer,Amir Weintraub
Toby Martin,Amir Weintraub
Joshua Paris,Sam Barry
Edan Bakshi,Daniel Cukierman
Mor Bulis,Edan Leshem
Tal Goldengoren,Dor Belfer
Ben Fatael,Evan Song
Itai Allouche,Orel Ovil
Aviv Darmon,Guy Michelevitz
Motvey Radionov,Bar Tzuf Botzer
Daniel Dudockin,Toby Martin
Shahar Elbaz,Sebastian Wagner
Emil Saveljev,Ram Kapach
Alexander Mozgovoy,Evgeny Karlovskiy
Dekel Bar,Daniel Tamir
Ben Gidoni,Daniel Tyntaryov
Oran Reznik,Yankel Zemel
Yuriy Kovalenko,Peter Kobelt
Sam Barry,Daniel Cukierman
Dor Belfer,Edan Leshem
Orel Ovil,Evan Song
Guy Michelevitz,Bar Tzuf Botzer
Sebastian Wagner,Toby Martin
Ram Kapach,Evgeny Karlovskiy
Daniel Tyntaryov,Daniel Tamir
Yankel Zemel,Peter Kobelt
Daniel Cukierman,Edan Leshem
Bar Tzuf Botzer,Evan Song
Toby Martin,Evgeny Karlovskiy
Daniel Tamir,Peter Kobelt
Evan Song,Edan Leshem
Evgeny Karlovskiy,Peter Kobelt
Peter Kobelt,Edan Leshem
Nicola Ghedin,Enzo Couacaud
Demian Raab,Alessandro Colella
Jumpei Yamasaki,Filippo Leonardi
Giovanni Rizzuti,Mateo Nicolas Martinez
Riccardo Bonadio,Johan Sebastien Tatlot
Davide Galoppini,Patricio Heras
Francesco Moncagatto,Jacopo Stefanini
Nicolas Reissig,Claudio Fortuna
Lukas Jastraunig,Calvin Hemery
Luca Prevosto,Francesco Borgo
Daniele Chiurulli,Federico Maccari
Simone Roncalli,Omar Giacalone
Junhao Ye,Matteo Trevisan
Sebastian Schulz,Milan Habrman
Giacomo Oradini,Pietro Licciardi
Pietro Rondoni,Gianluca Naso
Enzo Couacaud,Alessandro Colella
Filippo Leonardi,Mateo Nicolas Martinez
Johan Sebastien Tatlot,Patricio Heras
Claudio Fortuna,Jacopo Stefanini
Francesco Borgo,Calvin Hemery
Federico Maccari,Omar Giacalone
Milan Habrman,Matteo Trevisan
Pietro Licciardi,Gianluca Naso
Mateo Nicolas Martinez,Alessandro Colella
Jacopo Stefanini,Patricio Heras
Omar Giacalone,Calvin Hemery
Matteo Trevisan,Gianluca Naso
Alessandro Colella,Patricio Heras
Calvin Hemery,Gianluca Naso
Patricio Heras,Gianluca Naso
Alessandro Colella,Enzo Couacaud
Simone Roncalli,Pietro Rondoni
Davide Pontoglio,Francesco Borgo
Davide Melchiorre,Riccardo Sinicropi
Stefano Travaglia,Samuel Bensoussan
Federico Maccari,Demian Raab
Daniele Capecchi,Edoardo Eremin
Lorenzo Frigerio,Johan Sebastien Tatlot
Matteo Trevisan,Sebastian Schulz
Junhao Ye,Enrico Burzi
Francesco Ferrari,Riccardo Maiga
Claudio Fortuna,Gianluca Naso
Alessandro Bega,Calvin Hemery
Filippo Baldi,Pietro Licciardi
Davide Galoppini,Matteo Berrettini
Cristian Carli,Jordan Thompson
Pietro Rondoni,Enzo Couacaud
Riccardo Sinicropi,Francesco Borgo
Demian Raab,Samuel Bensoussan
Edoardo Eremin,Johan Sebastien Tatlot
Sebastian Schulz,Enrico Burzi
Riccardo Maiga,Gianluca Naso
Pietro Licciardi,Calvin Hemery
Jordan Thompson,Matteo Berrettini
Enzo Couacaud,Francesco Borgo
Samuel Bensoussan,Johan Sebastien Tatlot
Enrico Burzi,Gianluca Naso
Matteo Berrettini,Calvin Hemery
Francesco Borgo,Johan Sebastien Tatlot
Gianluca Naso,Calvin Hemery
Johan Sebastien Tatlot,Calvin Hemery
Kevin Krawietz,Nils Langer
Gianluca Bergomi,Pietro Rondoni
Alessandro Petrone,Andrea Vavassori
Jacopo Stefanini,Omar Giacalone
Riccardo Merone,Gianluca Naso
Filippo Baldi,Lorenzo Sonego
Nicola Ghedin,Matteo Trevisan
Florian Fallert,Salvatore Caruso
Luca Rovetta,Jose Pereira
Cristian Carli,Giulio Torroni
Mandresy Rakotomalala,Matteo Berrettini
Andrea Grazioso,Stefano Travaglia
Andriej Kapas,Alexandre Sidorenko
Riccardo Bonadio,Alessandro Bega
Riccardo Maiga,Mateo Nicolas Martinez
Davide Della Tommasina,Federico Gaio
Pietro Rondoni,Nils Langer
Andrea Vavassori,Omar Giacalone
Lorenzo Sonego,Gianluca Naso
Salvatore Caruso,Matteo Trevisan
Giulio Torroni,Jose Pereira
Matteo Berrettini,Stefano Travaglia
Alexandre Sidorenko,Alessandro Bega
Mateo Nicolas Martinez,Federico Gaio
Nils Langer,Omar Giacalone
Gianluca Naso,Matteo Trevisan
Stefano Travaglia,Jose Pereira
Alessandro Bega,Federico Gaio
Omar Giacalone,Matteo Trevisan
Jose Pereira,Federico Gaio
Federico Gaio,Matteo Trevisan
Gian Marco Moroni,Nils Langer
Djurabek Karimov,Juan Pablo Ficovich
Yunseong Chung,Jacopo Stefanini
Marc Polmans,Matteo Trevisan
Stefano Travaglia,Giacomo Oradini
Gianluca Di Nicola,Lorenzo Sonego
Jonata Vitari,Alessandro Bega
Romain Arneodo,Mateo Nicolas Martinez
Pietro Rondoni,Omar Giacalone
Alessandro Giannessi,Maxime Tabatruong
Teri Groll,Samuel Bensoussan
Benjamin Balleret,Tommy Paul
Morgan Bourbon,Gianluca Mager
Francesco Vilardo,Adrien Puget
Florian Fallert,Alex Rybakov
Lorenzo Frigerio,Andres Molteni
Juan Pablo Ficovich,Nils Langer
Jacopo Stefanini,Matteo Trevisan
Giacomo Oradini,Lorenzo Sonego
Alessandro Bega,Mateo Nicolas Martinez
Maxime Tabatruong,Omar Giacalone
Samuel Bensoussan,Tommy Paul
Adrien Puget,Gianluca Mager
Alex Rybakov,Andres Molteni
Matteo Trevisan,Nils Langer
Mateo Nicolas Martinez,Lorenzo Sonego
Omar Giacalone,Tommy Paul
Gianluca Mager,Andres Molteni
Nils Langer,Lorenzo Sonego
Andres Molteni,Tommy Paul
Lorenzo Sonego,Tommy Paul
Maciej Rajski,Frederico Ferreira Silva
Alvaro Alfonso Ruiz,Juan Pablo Canas Garcia
Miguel Deus,Henrique Sousa
Jelle Sels,Joao Domingues
Felipe Cunha Silva,David Vega Hernandez
Luis Faria,Nuno Deus
Goncalo Pereira,Andre Gaspar Murta
Pirmin Haenle,Frederico Gil
Jose Maria Moya,Fabricio Neis
Francisco Caldas,Piotr Zbroja
Goncalo Falcao,Johan Nikles
Guilherme Wojciechowski Osorio,Bruno Santanna
Julien Dubail,Romain Barbosa
Adria Mas Mascolo,Tak Khunn Wang
Francisco Ramos,Pascal Meis
Jose Campos,Ricardo Ojeda Lara
Juan Pablo Canas Garcia,Frederico Ferreira Silva
Henrique Sousa,Joao Domingues
Nuno Deus,David Vega Hernandez
Andre Gaspar Murta,Frederico Gil
Piotr Zbroja,Fabricio Neis
Johan Nikles,Bruno Santanna
Tak Khunn Wang,Romain Barbosa
Pascal Meis,Ricardo Ojeda Lara
Frederico Ferreira Silva,Joao Domingues
David Vega Hernandez,Frederico Gil
Fabricio Neis,Bruno Santanna
Ricardo Ojeda Lara,Romain Barbosa
Joao Domingues,Frederico Gil
Bruno Santanna,Romain Barbosa
Romain Barbosa,Frederico Gil
Rafael Mazon Hernandez,David Vega Hernandez
Diogo Lourenco,Thomas Brechemier
Salvador Bandeira,Miguel Deus
Henrique Sousa,Joao Domingues
Alejandro Ortega Palacios,Carlos Boluda Purkiss
Miguel Semmler,Inigo Santos Fernandez
Alejandro Alaix,Georgi Rumenov Payakov
Alexander Centenari,Sami Reinwein
Alberto Romero De Avila Senise,Bruno Santanna
Jose Maria Moya,Borja Rodriguez Manzano
Bruno Pedrosa,Nuno Deus
Joao Antonio,Ivan Arenas Gualda
Frederico Gil,Jorge Hernando Ruano
Pedro Dominguez Alonso,Francisco Cabral
Jose Fco Vidal Azorin,Juan Pablo Canas Garcia
Goncalo Falcao,Ricardo Ojeda Lara
Thomas Brechemier,David Vega Hernandez
Miguel Deus,Joao Domingues
Inigo Santos Fernandez,Carlos Boluda Purkiss
Sami Reinwein,Georgi Rumenov Payakov
Borja Rodriguez Manzano,Bruno Santanna
Nuno Deus,Ivan Arenas Gualda
Francisco Cabral,Jorge Hernando Ruano
Juan Pablo Canas Garcia,Ricardo Ojeda Lara
David Vega Hernandez,Joao Domingues
Carlos Boluda Purkiss,Georgi Rumenov Payakov
Ivan Arenas Gualda,Bruno Santanna
Jorge Hernando Ruano,Ricardo Ojeda Lara
Joao Domingues,Georgi Rumenov Payakov
Bruno Santanna,Ricardo Ojeda Lara
Ricardo Ojeda Lara,Georgi Rumenov Payakov
Paul Cayre,Roberto Ortega Olmedo
Miguel Deus,Jose Fco Vidal Azorin
Alexander Centenari,Ricardo Villacorta Alonso
Justin S Shane,Joao Domingues
Leonardo Tavares,Sebastien Boltz
Salvador Bandeira,Georgi Rumenov Payakov
Joao Antonio,Guilherme Wojciechowski Osorio
Jorge Hernando Ruano,Ivan Arenas Gualda
Bernabe Zapata Miralles,Carlos Boluda Purkiss
Bruno Mardones,Bruno Pedrosa
Tiago Lourenco,Alberto Romero De Avila Senise
Borja Rodriguez Manzano,Ricardo Ojeda Lara
Alex Molina,Frederico Gil
Duarte Vale,Goncalo Falcao
Nuno Deus,Bruno Santanna
Sami Reinwein,Takanyi Garanganga
Jose Fco Vidal Azorin,Roberto Ortega Olmedo
Ricardo Villacorta Alonso,Joao Domingues
Sebastien Boltz,Georgi Rumenov Payakov
Guilherme Wojciechowski Osorio,Ivan Arenas Gualda
Bruno Pedrosa,Carlos Boluda Purkiss
Alberto Romero De Avila Senise,Ricardo Ojeda Lara
Goncalo Falcao,Frederico Gil
Bruno Santanna,Takanyi Garanganga
Joao Domingues,Roberto Ortega Olmedo
Ivan Arenas Gualda,Georgi Rumenov Payakov
Ricardo Ojeda Lara,Carlos Boluda Purkiss
Frederico Gil,Takanyi Garanganga
Roberto Ortega Olmedo,Georgi Rumenov Payakov
Takanyi Garanganga,Carlos Boluda Purkiss
Carlos Boluda Purkiss,Georgi Rumenov Payakov
Oriol Roca Batalla,Marcos Giraldi Requena
Alexandr Igoshin,Bernabe Zapata Miralles
Carlos Taberner,Jaume Munar
Sasi Kumar Mukund,Albert Alcaraz Ivorra
Jean Marc Werner,Yannik Reuter
Alberto Nieto,Jaume Pla Malfeito
Eduard Esteve Lobato,Alvaro Lopez San Martin
Juan Samuel Arauzo Martinez,Goncalo Oliveira
Oscar Mesquida Berg,Jose Checa Calvo
Pol Amoros Ramos,Sergio Martos Gornes
Sergio Barranco,Sergio Castellon Guasch
Alex Valeriano,Ivan Arenas Gualda
Oriol Garrobe Guilera,Marek Semjan
Jordi Munoz Abreu,Eduard Guell Bartrina
Pol Toledo Bague,Nicola Kuhn
Pablo Irigaray Guarne,Gerard Granollers
Bernabe Zapata Miralles,Marcos Giraldi Requena
Albert Alcaraz Ivorra,Jaume Munar
Jaume Pla Malfeito,Yannik Reuter
Goncalo Oliveira,Alvaro Lopez San Martin
Sergio Martos Gornes,Jose Checa Calvo
Ivan Arenas Gualda,Sergio Castellon Guasch
Marek Semjan,Eduard Guell Bartrina
Nicola Kuhn,Gerard Granollers
Marcos Giraldi Requena,Jaume Munar
Yannik Reuter,Alvaro Lopez San Martin
Sergio Castellon Guasch,Jose Checa Calvo
Eduard Guell Bartrina,Gerard Granollers
Jaume Munar,Alvaro Lopez San Martin
Jose Checa Calvo,Gerard Granollers
Alvaro Lopez San Martin,Gerard Granollers
Sasi Kumar Mukund,Jordi Samper Montana
Jaume Munar,Alex Rybakov
Reilly Opelka,Taylor Harry Fritz
Rutger Cramer,Jaume Pla Malfeito
Eduard Esteve Lobato,Gerard Granollers
Oscar Mesquida Berg,Pol Toledo Bague
Juan Pablo Ficovich,Bernabe Zapata Miralles
Alexander Ward,Tommy Paul
Takashi Saito,Juan Samuel Arauzo Martinez
Sumet Srisangsitthisanti,Zhizhen Zhang
Can Oztuzun,Marcos Giraldi Requena
Jordi Munoz Abreu,Oriol Roca Batalla
Patricio Heras,Pedro Martinez Portero
Harrison Lombe,Peter Bothwell
Sergio Martos Gornes,Goncalo Oliveira
Christian Garin,Albert Alcaraz Ivorra
Alex Rybakov,Jordi Samper Montana
Jaume Pla Malfeito,Taylor Harry Fritz
Gerard Granollers,Pol Toledo Bague
Bernabe Zapata Miralles,Tommy Paul
Zhizhen Zhang,Juan Samuel Arauzo Martinez
Marcos Giraldi Requena,Oriol Roca Batalla
Peter Bothwell,Pedro Martinez Portero
Goncalo Oliveira,Albert Alcaraz Ivorra
Jordi Samper Montana,Taylor Harry Fritz
Pol Toledo Bague,Tommy Paul
Juan Samuel Arauzo Martinez,Oriol Roca Batalla
Pedro Martinez Portero,Albert Alcaraz Ivorra
Taylor Harry Fritz,Tommy Paul
Oriol Roca Batalla,Albert Alcaraz Ivorra
Albert Alcaraz Ivorra,Tommy Paul
Isade Juneau,Alexis Musialek
Roger Ordeig,David Biosca Girvent
Pedro Martinez Portero,Alex Rybakov
Soichiro Moritani,Jose Checa Calvo
Igor Zubov,Alexander Ward
Gil Sala Bordallo,Sergi Fontcuberta
Dorian Descloix,Jordi Munoz Abreu
Aswin Lizen,Maxime Tabatruong
Eduard Esteve Lobato,Albert Alcaraz Ivorra
Gerard Sola Grau,Zhizhen Zhang
Jaume Pla Malfeito,Francois Arthur Vibert
Oscar Mesquida Berg,Maxime Chazal
Pol Toledo Bague,Tommy Paul
Reilly Opelka,Takashi Saito
Sebastian Schulz,Sergio Martos Gornes
Jean Marc Werner,Gerard Granollers
David Biosca Girvent,Alexis Musialek
Jose Checa Calvo,Alex Rybakov
Sergi Fontcuberta,Alexander Ward
Jordi Munoz Abreu,Maxime Tabatruong
Zhizhen Zhang,Albert Alcaraz Ivorra
Francois Arthur Vibert,Maxime Chazal
Takashi Saito,Tommy Paul
Sergio Martos Gornes,Gerard Granollers
Alexis Musialek,Alex Rybakov
Maxime Tabatruong,Alexander Ward
Albert Alcaraz Ivorra,Maxime Chazal
Gerard Granollers,Tommy Paul
Alex Rybakov,Alexander Ward
Tommy Paul,Maxime Chazal
Alexander Ward,Maxime Chazal
Brandon Levendale,Yasutaka Uchiyama
Leonel Videla,Ben Fatael
Aswin Lizen,Matteo Fago
Juan Samuel Arauzo Martinez,Jaume Pla Malfeito
Alan Gadjiev,Jose Checa Calvo
Adria Mas Mascolo,Bernabe Zapata Miralles
Sergi Fontcuberta,Lukas Koncilia
Antso Rakotondramanga,Pol Toledo Bague
Eduard Esteve Lobato,Sergio Martos Gornes
David Biosca Girvent,Oscar Mesquida Berg
Ignacio Calvo Milla,Joshua Paris
Hugo Nys,Rafael Camilo
Bogdan Djurdjevic,Florent Diep
Thibault Cancel,Mark Vervoort
Ioannis Papounidis,Ricardo Villacorta Alonso
Ricky Ventura Perez,Gerard Granollers
Ben Fatael,Yasutaka Uchiyama
Jaume Pla Malfeito,Matteo Fago
Bernabe Zapata Miralles,Jose Checa Calvo
Lukas Koncilia,Pol Toledo Bague
Oscar Mesquida Berg,Sergio Martos Gornes
Joshua Paris,Rafael Camilo
Florent Diep,Mark Vervoort
Ricardo Villacorta Alonso,Gerard Granollers
Matteo Fago,Yasutaka Uchiyama
Pol Toledo Bague,Jose Checa Calvo
Rafael Camilo,Sergio Martos Gornes
Mark Vervoort,Gerard Granollers
Jose Checa Calvo,Yasutaka Uchiyama
Sergio Martos Gornes,Gerard Granollers
Yasutaka Uchiyama,Gerard Granollers
Simon Friis Soendergaard,Markus Eriksson
Patrik Brydolf,Mikael Ymer
Moos Sporken,Julian Onken
Neil Pauffley,Colin Van Beem
Jelle Sels,Richard Gabb
Philip Moebius,Fred Simonsson
Sebastian Hawken,Morgan Johansson
Jonathan Stenberg,Jacob Adaktusson
Milos Sekulic,Christoffer Solberg
Bobbie De Goeijen,Sam Taylor
George Von Massow,Tobias Blomgren
Daniel Appelgren,Henrik Sillanpaa
Lucas Renard,Pirmin Haenle
Jesper Brunstrom,Timon Reichelt
Christian Samuelsson,Jonathan Mridha
Andrew Bettles,Tomislav Jotovski
Mikael Ymer,Markus Eriksson
Julian Onken,Colin Van Beem
Richard Gabb,Fred Simonsson
Morgan Johansson,Jacob Adaktusson
Sam Taylor,Christoffer Solberg
Henrik Sillanpaa,Tobias Blomgren
Pirmin Haenle,Timon Reichelt
Jonathan Mridha,Tomislav Jotovski
Colin Van Beem,Markus Eriksson
Jacob Adaktusson,Fred Simonsson
Christoffer Solberg,Tobias Blomgren
Tomislav Jotovski,Timon Reichelt
Markus Eriksson,Fred Simonsson
Tobias Blomgren,Timon Reichelt
Timon Reichelt,Fred Simonsson
Sam Taylor,Hugo Dellien
Tobias Blomgren,Jan Choinski
Christian Samuelsson,Jacob Adaktusson
Scott Clayton,Markus Eriksson
Patrik Brydolf,Martins Podzus
Daniel Appelgren,Milos Sekulic
Leon Schutt,Janis Podzus
Tomislav Jotovski,Neil Pauffley
Simon Friis Soendergaard,Henrik Sillanpaa
Dragos Nicolae Madaras,Timon Reichelt
Joachim Bjerke,Jonathan Mridha
Federico Zeballos,Lucas Renard
Mikael Ymer,Richard Gabb
Filip Bergstrom,Christoffer Solberg
Adrian Forberg Skogeng,Bobbie De Goeijen
Fred Simonsson,Michael Linzer
Jan Choinski,Hugo Dellien
Jacob Adaktusson,Markus Eriksson
Milos Sekulic,Martins Podzus
Janis Podzus,Neil Pauffley
Timon Reichelt,Henrik Sillanpaa
Lucas Renard,Jonathan Mridha
Christoffer Solberg,Richard Gabb
Bobbie De Goeijen,Michael Linzer
Hugo Dellien,Markus Eriksson
Neil Pauffley,Martins Podzus
Henrik Sillanpaa,Jonathan Mridha
Richard Gabb,Michael Linzer
Markus Eriksson,Martins Podzus
Jonathan Mridha,Michael Linzer
Martins Podzus,Michael Linzer
Marcus Mansson,Pavel Nejedly
Philip Moebius,Mikael Ymer
Janis Podzus,Christoffer Solberg
Fabian Van Der Lans,Federico Zeballos
Alexander Vasilenko,Christian Samuelsson
Jesper Brunstrom,Fred Simonsson
Leon Schutt,Milos Sekulic
Eric Samuelsson,Henrik Sillanpaa
Patrik Brydolf,Markus Eriksson
Lucas Renard,Jacob Adaktusson
Erik Nordblom,Dragos Nicolae Madaras
Jonathan Mridha,Martins Podzus
Scott Clayton,Richard Gabb
Serdar Bojadjieva,Panu Virtanen
Adrian Forberg Skogeng,Hubert Hurkacz
Patrik Rosenholm,Patrik Niklas Salminen
Pavel Nejedly,Mikael Ymer
Christoffer Solberg,Federico Zeballos
Christian Samuelsson,Fred Simonsson
Milos Sekulic,Henrik Sillanpaa
Jacob Adaktusson,Markus Eriksson
Martins Podzus,Dragos Nicolae Madaras
Panu Virtanen,Richard Gabb
Patrik Niklas Salminen,Hubert Hurkacz
Federico Zeballos,Mikael Ymer
Fred Simonsson,Henrik Sillanpaa
Markus Eriksson,Dragos Nicolae Madaras
Richard Gabb,Hubert Hurkacz
Henrik Sillanpaa,Mikael Ymer
Hubert Hurkacz,Dragos Nicolae Madaras
Dragos Nicolae Madaras,Mikael Ymer
Sandro Ehrat,Riccardo Bellotti
Jonas Trinker,James Marsalek
David Volfson,Fedor Chervyakov
Scott Browne,Clement Geens
Gleb Alekseenko,Maximilian Neuchrist
Mert Adanali,Antoine Bellier
Aleksandre Metreveli,Philip Orno
Maksim Malyshev,Altug Celikbilek
Evgeny Elistratov,Yvo Panak
Dominic Weidinger,Anil Yuksel
Shunsuke Wakita,Marc Sieber
Fabien Reboul,Peter Heller
Issam Al Tawil,Vadim Alekseenko
Muhammet Haylaz,Barkin Yalcinkale
Benjamin Bonzi,Omar Salman
Hugo Nys,Lucas Miedler
James Marsalek,Riccardo Bellotti
Fedor Chervyakov,Clement Geens
Antoine Bellier,Maximilian Neuchrist
Philip Orno,Altug Celikbilek
Yvo Panak,Anil Yuksel
Marc Sieber,Peter Heller
Vadim Alekseenko,Barkin Yalcinkale
Omar Salman,Lucas Miedler
Clement Geens,Riccardo Bellotti
Maximilian Neuchrist,Altug Celikbilek
Anil Yuksel,Peter Heller
Barkin Yalcinkale,Lucas Miedler
Altug Celikbilek,Riccardo Bellotti
Peter Heller,Lucas Miedler
Lucas Miedler,Riccardo Bellotti
Fatih Taha Erun,Ti Chen
Ivan Davydov,David Volfson
Sasha Supruniuk,Sarp Agabigun
Aria Harajchi,Francesco Vilardo
Stanislav Skobelev,Erik Crepaldi
Renat Sakhabutdinov,Altug Celikbilek
Piotr Grynkowski,Fedor Chervyakov
Mert Adanali,Anil Yuksel
Lucian Vespan,Harry Bourchier
Galo Barrezueta,Mark Fynn
Mehdi Naqvi,Barkin Yalcinkale
Pavel Shchaya Zubrov,Dimitar Kuzmanov
Fariduni Bakhodur,Hugo Grenier
Joel Popov,Sefa Suluoglu
Ferdun Shevkedov,Efe Yurtacan
Muhammet Haylaz,Riccardo Bellotti
David Volfson,Ti Chen
Sarp Agabigun,Francesco Vilardo
Altug Celikbilek,Erik Crepaldi
Anil Yuksel,Fedor Chervyakov
Mark Fynn,Harry Bourchier
Barkin Yalcinkale,Dimitar Kuzmanov
Sefa Suluoglu,Hugo Grenier
Efe Yurtacan,Riccardo Bellotti
Francesco Vilardo,Ti Chen
Fedor Chervyakov,Erik Crepaldi
Harry Bourchier,Dimitar Kuzmanov
Hugo Grenier,Riccardo Bellotti
Ti Chen,Erik Crepaldi
Dimitar Kuzmanov,Riccardo Bellotti
Erik Crepaldi,Riccardo Bellotti
Sarp Agabigun,Daniel Cox
Stefan Frljanic,Fedor Chervyakov
Stanislav Skobelev,Cagatay Sami Soke
Baptiste Crepatte,Dekel Bar
Simeon Rossier,David Rice
Antonio Campo,Constantin Belot
Fatih Taha Erun,Lorenzo Frigerio
Mateo Faber,Arthur Surreaux
Alp Sentay,Hugo Grenier
Tinotenda Chanakira,Francesco Vilardo
Ferdun Shevkedov,Mark Fynn
Galo Barrezueta,Federico Zeballos
Piotr Grynkowski,Christopher Heyman
Julius Tverijonas,Nicolas Rosenzweig
Muhammet Haylaz,Barkin Yalcinkale
Aria Harajchi,Erik Crepaldi
Fedor Chervyakov,Daniel Cox
Cagatay Sami Soke,Dekel Bar
Constantin Belot,David Rice
Arthur Surreaux,Lorenzo Frigerio
Hugo Grenier,Francesco Vilardo
Mark Fynn,Federico Zeballos
Christopher Heyman,Nicolas Rosenzweig
Barkin Yalcinkale,Erik Crepaldi
Dekel Bar,Daniel Cox
David Rice,Lorenzo Frigerio
Francesco Vilardo,Federico Zeballos
Nicolas Rosenzweig,Erik Crepaldi
Lorenzo Frigerio,Daniel Cox
Federico Zeballos,Erik Crepaldi
